"RucProveedor","CodProducto","Producto","UnidaMedidaCompra","CostoCaja"
"20100035121","801325",MIMASKOT SNACK TIRAS 6X12X50GR,CAJA,283.990000
"20100035121","801326",MIMASKOT GATOS SNACK CREM. 6X6X56GR.,CAJA,260.440000
"20100035121","801345",MARCO POLO CODO MED RAY 20X235 GR,BOLSA,18.967778
"20100035121","801209",TWOPACK VIZZIO 6 X 2 X 122 GR.,CAJA,84.805000
"20100035121","801295",NUTRICAN ADULTOS RAF 25KG,BOLSA,110.784267
"20100035121","801200",PANETON COSTA CAJA 6X800G,CAJA,114.960394
"20100035121","801266",MOLITALIA SPAGHETTI 20 X 450 GR,BOLSA,51.769091
"20100035121","801343",MARCO POLO MACARRON 20X235 GR,BOLSA,18.967750
"20100035121","801346",MOLITALIA LETRAS 20X235 GR,BOLSA,25.856000
"20100035121","801333",GALLETA CHIPS FIESTA 12X6X34GR,CAJA,43.742000
"20100035121","801358",VIZZIO GRAGEA CEREAL 10X10X21GR,CAJA,104.490000
"20100035121","801214",GALLET CHOCODONUTS LECHE 14X6X33 GR.,CAJA,51.031000
"20100035121","801304",QUINUA AVENA 3 OSITOS 12 X 150 GR,BOLSA,16.388370
"20100035121","801205",COSTA VIZZIO ESTUCHE 12 X 122 GR.,CAJA,92.830000
"20100035121","801282",GALL CARITAS DOBLE BANO 16X6X30 GR.,CAJA,51.857000
"20100035121","801350",MOLITALIA FUSILLI TRICOLOR 20X235GR,BOLSA,32.153000
"20100035121","801351",MOLITALIA CARACOL CHICO 20X235 GR,BOLSA,25.740000
"20100035121","801353",MOLITALIA TORNILLO 20X235 GR,BOLSA,25.750000
"20100035121","801369",GALLETA RELLENA CHOCMAN 14X6X40GR,CAJA,58.041667
"20100035121","801246",GRETEL CHOCOLATE 16X6X32GR.,CAJA,57.479091
"20100035121","801315",MIMASKOT GATOS ARENA GATOS 10KG,BOLSA,16.789259
"20100035121","801262",GALLETA FRAC CHOCOLATE 12X6X41 GR.,CAJA,43.741000
"20100035121","801334",HUEVO AMBROSITO 24 X 95GR,CAJA,207.570000
"20100035121","801352",MOLITALIA CANUTO 20X235 GR,BOLSA,25.856000
"20100035121","801360",VIZZIO TABLETA CEREAL  10X10X24GR,CAJA,131.060000
"20100035121","801359",VIZZIO TABLETA MANI  10X10X26GR,CAJA,131.065000
"20100035121","801375",FANNY MERM. FRESA POTE H 12X320GR,CAJA,50.166809
"20100035121","801263",GALLETA FRAC MENTA 12X6X41 GR.,CAJA,43.742000
"20100035121","801319",CANONAZO EXTRA 6X12X39GR,CAJA,56.126000
"20100035121","801264",GALLETA FRAC VAINILLA 12X6X41 GR.,CAJA,43.743333
"20100035121","801354",MOLITALIA CORBATITA 20X235 GR,BOLSA,30.000000
"20100035121","801390",SALSA CASERA HONGOS LAUREL 24X190GR,CAJA,44.068333
"20100035121","801372",MINI CANONAZO 12X20X12GR,CAJA,68.058333
"20100035121","801367",AVENA CLASICA 2V 24X100 G,BOLSA,20.555100
"20100035121","801386",FANNY DOYPACK MERMELADA 8X700GR,CAJA,56.050000
"20100035121","801273",GALLETA SURTIDA LATA 18X390GR.,CAJA,304.320000
"20100035121","801320",COSTA NOCAUT 12 X 6 X 32 GR.,CAJA,47.265714
"20100035121","801286",WAFER SABOR CHOCOLATE  32X105 GR.,CAJA,48.921250
"20100035121","801365",AVENA CLASICA 3OSITOS 12X500 G,BOLSA,49.847600
"20100035121","801476",VIZZIO GRAGEA ALMENDRA 10X10X21GR,CAJA,93.417333
"20100035121","801384",MINI COSTA JURASSIC CAJA 48X80 GR,CAJA,156.731667
"20100035121","801383",COSTA WENAZAS 14X6X22.5GR,CAJA,37.778333
"20100035121","801398",CHUPETIN COLORADO SURTI 16X24X17GR,CAJA,85.395000
"20100035121","801287",WAFER SABOR FRESA  32X105 GR.,CAJA,48.922000
"20100035121","801344",MARCO POLO TORNILLO 20X235 GR,BOLSA,18.967800
"20100035121","801297",NUTRICAN CACHORROS RAF 25KG,BOLSA,114.517778
"20100035121","801388",POMAROLA SALSA CLASICA 24X145 GR.,CAJA,28.260950
"20100035121","801494",TUBOS LOOP MULTICOLOR 20X67.5GR,CAJA,33.100000
"20100035121","801492",CINTAS LOOP FRESA 20X67.5GR,CAJA,31.955000
"20100035121","801399",MINIMELLOWS 11X12X24 GR.,CAJA,69.850000
"20100035121","801500",GOMAS MORAS 24X70GR,CAJA,38.628974
"20100035121","801289",WAFER SABOR VAINILLA  32X105 GR.,CAJA,48.921429
"20100035121","801348",MOLITALIA PASTINA 20X235 GR.,BOLSA,25.746000
"20100035121","801298",NUTRICAN GATOS ATUN SARDI RAF 9 KG,BOLSA,61.495400
"20100035121","801394",GOMAS AMBROSITO GRANEL 20X480 GR.,CAJA,138.100000
"20100035121","801737",MIMASKOT GATITOS POLLO CARNE 13KG,BOLSA,110.446000
"20100035121","801697",VIZZIO GRAGEA MANI 60x70GR.,CAJA,218.665000
"20100035121","801595",GALLETA INTEGRALES 24X250GR,CAJA,68.820000
"20100035121","801664",GOMAS LOOP GRANEL 20X480 GR,CAJA,132.670000
"20100035121","801305",MACA AVENA 3 OSITOS 12 X 150 GR.,BOLSA,16.399769
"20100035121","801362",VIZZIO TABLETA MIX  12X370GR,CAJA,179.846667
"20100035121","801299",MOLITALIA LINGUINE 20X450 GR,BOLSA,51.706667
"20100035121","801493",CINTAS LOOP MULTICOLOR 20X67.5GR,CAJA,31.955000
"20100035121","801752",CHOCMAN GALLETA FIESTA 14X25X10GR,CAJA,104.893333
"20100035121","801703",GOMAS CALIPTUS MIX 12X90GR,CAJA,19.314000
"20100035121","801661",GOMAS FLIPPY GRANEL 20X480 GR,CAJA,132.670000
"20100035121","801692",GOMAS SHREK GUSANOS 12X78 GR.,CAJA,19.314634
"20100035121","801314",MIMASKOT GATOS ARENA GATOS 5KG,BOLSA,9.790000
"20100035121","801366",AVENA CLASICA 24X100 G,BOLSA,21.341000
"20100035121","801303",ZEUS CACHORROS RAF 25KG,SACO,96.473000
"20100035121","801497",GALLETA SURTIDA CAJA 6X237.5 GR,CAJA,49.860000
"20100035121","801761",TODINNO BOLSA 900 + TODINNITO B 85,EXHIBIDOR,21.809630
"20100035121","801709",FANNY GRATED ATUN EN AGUA 48X140 GR.,CAJA,153.485000
"20100035121","801694",NIK FIESTA 8X20X13.5GR,CAJA,55.586538
"20100035121","801698",VIZZIO GRAGEA CRUNCH 60X45GR,CAJA,170.018333
"20100035121","801318",CANCUN 12X24X25 GR.,CAJA,145.022500
"20100035121","801377",PASTA ENSALADA TORNILLO 20X235 GR,BOLSA,32.019000
"20100035121","801310",BIZCOCHO POKEKE PACK 10 X 12 X 28 GR,CAJA,58.212051
"20100035121","801659",CHUPETIN COLORADO MARACUYA16X24X17GR,CAJA,85.395000
