"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20514584789","01069726","","","017-GLINA. MONTBLANC CHOCOLOVERS 6DISX10UNDX50GR",CAJA,6.0000,6.0000,0.5000000000000000000,3.0000,224.4100020000
"20514584789","01069926","","","017-GLINA CHIN CHIN CHOCOPAL PAS 10BOLX20UNDX18GR",CAJA,10.0000,10.0000,0.1400000000000000000,1.4400,163.1860000000
"20514584789","01071167","","","017-COCOA WINTERS NI 8DSX20UX20G",CAJA,8.0000,8.0000,0.4000000000000000000,3.2000,174.5345040000
"20514584789","01071663","","","017-COCOA LA ABUELITA 12DISX50UDX10GR",CAJA,12.0000,12.0000,0.5000000000000000000,6.0000,252.5150040000
"20514584789","01075243","","","017-GLINA. OLE OLE MUSTAFA 24DIS X 12UND X 20GR",CAJA,24.0000,24.0000,0.3100000000000000000,7.5000,200.7700080000
"20514584789","01076022","","","017- COCOA WINTERS SUR CJX30UNDX140G CP",CAJA,30.0000,30.0000,0.1400000000000000000,4.2000,196.5690000000
"20514584789","01076365","","","017-MODIFR. CHOCOLISTO 6 TARX900G PE",CAJA,6.0000,6.0000,1.0300000000000000000,6.2000,150.5700000000
"20514584789","01077946","","","017-GILNA. CHIN CHIN CN 24DIS X 24UND X 16GR - CSCEDI",CAJA,24.0000,24.0000,0.3800000000000000000,9.2160,318.4723920000
"20514584789","01080401","","","017-PASAB. GRANUTS KRAKSPICANTE 24UND X 100GR",CAJA,24.0000,24.0000,0.1100000000000000000,2.7000,63.4650000000
"20514584789","01081126","","","017-GLINA. CHIN CHIN MINI 16BSX32UX7GR NF NAVXCAJX16UND",CAJA,16.0000,16.0000,0.0600000000000000000,1.0000,177.1700000000
"20514584789","01043941","","","017-GRANUTS CHOCOLATE ARANDANO 12DSPX12UX40G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789",B1072811,"","","017-BONIF GTA. PICARAS FRESA 1UND X 38GR",UNIDAD,1.0000,1.0000,0.0400000000000000000,0.0380,
"20514584789",B1052769,"","","017-BONIF. PICARAS MINI CLASICAS 14RISTX6X46GR",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",WI100102,"","","017-COSTEÑO ARROZ EXTRA AZUL X 750GR",UNIDAD,1.0000,1.0000,0.7500000000000000000,0.7500,
"20514584789","04025178","","","017-BOMBONERA CHINCHIN",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
